gene,source
SCN1A,hpg
LOC112267956,hpg
ATP2C1,hpg
ACE,hpg
LRFN5,hpg
LOC100287329,hpg
SYN3,hpg
BMP6,hpg
ABCC2,hpg
SFRP1,hpg
IL19,hpg
ANKK1,hpg
ARVCF,hpg
LOC349160,hpg
RP11-290F24.3,hpg
SLC39A8,hpg
TXNRD2,hpg
SPAG17,hpg
C1orf177,hpg
DYNC1I1,hpg
TRPC7-AS2,hpg
TLN2,hpg
RP11-54A4.2,hpg
ZSCAN25,hpg
STAG1,hpg
AC008565.1,hpg
HTR2C,hpg
COL4A1,hpg
IL16,hpg
TRPM6,hpg
LOC105375629,hpg
MN1,hpg
CHRNA3,hpg
SYNE1,hpg
FGF3,hpg
HPSE2,hpg
HLA-DPA1,hpg
ADORA2A-AS1,hpg
ICAM1,hpg
H1F0,hpg
TEAD1,hpg
SPOCK2,hpg
CACNA2D2,hpg
LOC105373786,hpg
PATJ,hpg
BDNF-AS,hpg
FNDC3B,hpg
COLGALT2,hpg
ZSCAN20,hpg
ICA1L,hpg
NPSR1,hpg
CTD-2623N2.11,hpg
FAF1,hpg
LTA,hpg
PLCE1,hpg
STAT6,hpg
TFRC,hpg
GRM7,hpg
LINC00342,hpg
LOC101927995,hpg
TPH1,hpg
ANAPC4,hpg
LOC105377986,hpg
TGFA,hpg
LOC105369501,hpg
TSPO,hpg
GLIS3,hpg
SCNN1A,hpg
ADRB1,hpg
RP11-274M4.1,hpg
SIGMAR1,hpg
AC005592.3,hpg
KCND3,hpg
RORA,hpg
PCP2,hpg
LOC107986832,hpg
LOC102724058,hpg
BRWD1,hpg
SPON1,hpg
PHACTR1,hpg
VEPH1,hpg
DBH-AS1,hpg
CHRM3,hpg
TSKU,hpg
NRIP1,hpg
COL27A1,hpg
LOC101927025,hpg
GSDMC,hpg
PON1,hpg
IRAG1,hpg
LOC105379318,hpg
CTNNA2,hpg
LTBP1,hpg
NMRAL1,hpg
TLL2,hpg
NRP1,hpg
LOC105377951,hpg
SLC24A3,hpg
IL1RN,hpg
PRKN,hpg
LOC105373313,hpg
GABRA3,hpg
GRIA3,hpg
IL11,hpg
PJA2,hpg
LOC105375836,hpg
TF,hpg
LTBP2,hpg
DCDC1,hpg
C12orf65,hpg
ASTN1,hpg
LOC112268294,hpg
MAOB,hpg
NPM1,hpg
SUGCT,hpg
DGKI,hpg
SVEP1,hpg
NCOR2,hpg
FAF2,hpg
EREG,hpg
IFRD1,hpg
NNMT,hpg
RP11-281A20.2,hpg
IL12B,hpg
EXD3,hpg
EHBP1L2,hpg
LOC105376032,hpg
ATXN1,hpg
SMAD4,hpg
SDK1,hpg
RPL19P11,hpg
MPPED2,hpg
YAP1,hpg
FAM101A,hpg
MTHFR,hpg
LOC105371394,hpg
POLD4,hpg
ACO1,hpg
HDAC9,hpg
GLIS4,hpg
C8orf34,hpg
ERG,hpg
HTRA1,hpg
SMO,hpg
CA10,hpg
FABP3P2,hpg
LINC02029,hpg
RNU2-17P,hpg
VGLL4,hpg
RALGPS1,hpg
IL1R2,hpg
SNX8,hpg
SLC39A9,hpg
RP11-993B23.1,hpg
IL37,hpg
snoZ178,hpg
CBS,hpg
ZNF555,hpg
SOX6,hpg
LOC105378525,hpg
RP11-501E14.1,hpg
RP11-123K19.1,hpg
LOC105371720,hpg
MIR4713HG,hpg
LEPREL1,hpg
LOC105379109,hpg
F5,hpg
ADAMTSL1,hpg
NPSR1-AS1,hpg
SLC12A5,zhao
IAPP,zhao
NTS,zhao
EPHX2,zhao
F2R,zhao
KCNT1,zhao
GRIN2B,zhao
UCP2,zhao
NPTX1,zhao
MAP2K3,zhao
PTGER2,zhao
PLP1,zhao
GAD2,zhao
NLGN2,zhao
P2RX3,zhao
PTGDS,zhao
NGF,zhao
GLRA3,zhao
CASP1,zhao
