Gene	Endotype
ANKHD1	0
CAPZA1	0
CASP1	0
LRRK1	0
MAP3K7	0
NLRC4	0
NLRP1	0
NOD2	0
PPP1R12C	0
RBCK1	0
RIPK2	0
EIF4EBP1	1
ERBIN	1
LRRK2	1
MAP2K3	1
MAP2K6	1
MAP2K7	1
MBP	1
PPP1R18	1
ACTR3	2
AGO1	2
CARD9	2
CASP4	2
DNM1L	2
EIF4E2	2
GAK	2
GALNT2	2
LGALS8	2
MYO15B	2
PBX2	2
PHC2	2
RAB7A	2
STX11	2
TRIM14	2
TRIM41	2
TSNAX	2
UNKL	2
USP15	2
VIM	2
VPS28	2
ZNF655	2
