NFKBIB	MYO9A
ECEL1	TPM2
ECEL1	CLIP3
CHRNG	KLHL41
CHRNG	MYH7
CHRNG	RAPSN
CHRNG	DOK7
CHRNG	CHRND
CHRNG	FGFR2
CHRNG	CHRNE
CHRNG	RYR1
CHRNG	TPM2
CHRNG	STAC3
CHRNG	CHRNA1
CHRNG	CHRNB1
CHRNG	CLIP3
CHRNG	NEB
CHRNG	ECEL1
CHD8	EGLN3
CHD8	ESR2
CHD8	MYC
CHD8	MADD
MUSK	KLHL41
MUSK	AGRN
MUSK	COLQ
MUSK	RAPSN
MUSK	DOK7
MUSK	CHRND
MUSK	FGFR2
MUSK	TPM2
MUSK	STAC3
MUSK	CHRNA1
MUSK	SLC18A3
MUSK	NEB
MUSK	CHRNG
SLC3A1	CAMKMT
SLC3A1	PREPL
SLC3A1	PPM1B
BIN1	FADS3
BIN1	MYC
BIN1	KLHL41
BIN1	AGRN
BIN1	COLQ
BIN1	VMA21
BIN1	TPM3
BIN1	MYH7
BIN1	RAPSN
BIN1	CHRND
BIN1	CHRNE
BIN1	GFPT1
BIN1	RYR1
BIN1	DNM2
BIN1	TPM2
BIN1	SCN4A
BIN1	STAC3
BIN1	CHRNA1
BIN1	CHRNB1
BIN1	ITGA7
BIN1	ALG2
BIN1	SELENON
BIN1	NEB
BIN1	CHRNG
CHAT	COLQ
CHAT	ALG14
CHAT	TPM3
CHAT	CHRND
CHAT	CHRNE
CHAT	GFPT1
CHAT	RYR1
CHAT	TPM2
CHAT	SCN4A
CHAT	STAC3
CHAT	CHRNA1
CHAT	CHRNB1
CHAT	SELENON
CHAT	SLC18A3
CHAT	NEB
CHAT	CHRNG
CHAT	MUSK
RHOB	ESR2
RHOB	SNAP25
RHOB	ITGA7
UNC13A	MADD
COL13A1	TPM3
COL13A1	CHRNE
COL13A1	CHRNA1
COL13A1	PUS1
COL13A1	RER1
COL13A1	NEB
VAMP1	VAMP2
VAMP1	SYT2
VAMP1	DOK7
VAMP1	TRIM45
VAMP1	CAMTA1
ACTA1	KLHL41
ACTA1	AGRN
ACTA1	COLQ
ACTA1	PPM1B
ACTA1	HTT
ACTA1	VMA21
ACTA1	ALG14
ACTA1	TPM3
ACTA1	MYH7
ACTA1	RAPSN
ACTA1	DOK7
ACTA1	GMPPB
ACTA1	CHRND
ACTA1	SNAP25
ACTA1	CHRNE
ACTA1	GFPT1
ACTA1	RYR1
ACTA1	DNM2
ACTA1	TPM2
ACTA1	SCN4A
ACTA1	STAC3
ACTA1	CHRNA1
ACTA1	CHRNB1
ACTA1	ITGA7
ACTA1	ALG2
ACTA1	SELENON
ACTA1	NEB
ACTA1	BIN1
ACTA1	CHAT
ACTA1	COL13A1
DES	SLC5A7
DES	KLHL41
DES	HTT
