FAM209A	MS4A1
FAM209A	SLC13A3
FAM209A	TSPAN33
FAM209A	FCER1G
FAM209A	ALG8
FAM209A	PGLYRP3
FAM209A	CLDND2
FAM209A	CXCL16
FAM209A	STX5
FAM209A	ZFPL1
FAM209A	BMP10
FAM209A	EOGT
FAM209A	TMEM79
FAM209A	CDS1
FAM209A	CLDN19
FAM209A	TEX264
FAM209A	ARLN
FAM209A	SCRG1
FAM209A	SLC35A1
FAM209A	SLC30A8
FAM209A	TMEM65
FAM209A	AQP3
FAM209A	CLDN2
FAM209A	GJB2
FAM209A	GHITM
FAM209A	SMCO4
FAM209A	C2
FAM209A	TMEM100
FAM209A	STX3
FAM209A	B4GALNT2
FAM209A	VKORC1
FAM209A	AQP2
FAM209A	ENTPD3
FAM209A	SFTPC
FAM209A	SCGB1D1
FAM209A	TMUB2
FAM209A	TMEM208
FAM209A	VAMP5
FAM209A	SLC35G2
FAM209A	MFF
FAM209A	GKN1
FAM209A	TMEM42
FAM209A	GPR37L1
FAM209A	GYPA
FAM209A	STX8
FAM209A	TMEM43
FAM209A	C11orf24
FAM209A	JAGN1
FAM209A	CANT1
FAM209A	LPAR3
FAM209A	COL8A2
FAM209A	NINJ2
FAM209A	MAL
FAM209A	ORMDL3
FAM209A	GPR151
FAM209A	ARV1
FAM209A	TNFRSF10C
FAM209A	TRAM1L1
FAM209A	DOLK
FAM209A	SLC35E3
FAM209A	SLC35A4
FAM209A	BNIP3
FAM209A	DNAJC30
FAM209A	BDNF
FAM209A	RPRM
FAM209A	AGTRAP
FAM209A	TMEM11
FAM209A	THBD
FAM209A	CYBC1
FAM209A	TMEM107
FAM209A	MYADM
FAM209A	TMEM86B
FAM209A	ADIPOQ
FAM209A	YIPF6
FAM209A	CLEC4G
FAM209A	SNORC
FAM209A	PAQR7
FAM209A	GKN2
FAM209A	GAST
FAM209A	C14orf180
FAM209A	MYADML2
FAM209A	SLC52A2
FAM209A	PTCH1
FAM209A	DEFB128
FAM209A	ANKRD46
FAM209A	TMEM222
FAM209A	PNLIPRP1
FAM209A	TMEM203
FAM209A	TMEM72
FAM209A	COL4A5
FAM209A	APOD
FAM209A	TMEM120A
FAM209A	CLDN4
FAM209A	S100A2
FAM209A	FAM3C
FAM209A	LRP10
FAM209A	LHFPL5
FAM209A	TMEM229B
FAM209A	GET3
FAM209A	RTP2
FAM209A	PLN
FAM209A	UBE2J1
FAM209A	PLPP4
FAM209A	SYT15
FAM209A	NCR3
FAM209A	DEFB121
FAM209A	MS4A13
FAM209A	SLC35B4
FAM209A	CTXN3
FAM209A	PLPP6
FAM209A	HACD2
FAM209A	GIMAP1
FAM209A	TM6SF2
FAM209A	FIS1
FAM209A	TNF
FAM209A	SMIM1
FAM209A	AQP1
FAM209A	KIR2DL3
FAM209A	TMEM141
