fromnodeid	tonodeid
RPS10	UBA52
RPS10	ACTB
RPS10	HNRNPA2B1
RPS10	HNRNPD
RPS10	EIF3K
RPS10	CD4
RPS10	ANXA1
RPS10	ENO1
RPS10	MYL6
RPS10	EIF3M
RPS10	ANXA6
RPS10	GNAI2
RPS10	RPS26
RPS10	FAU
RPS10	TCF25
PTPRJ	MAPK3
PTPRJ	PDPK1
PTPRJ	CBL
PTPRJ	SDCBP
PTPRJ	PXN
PTPRJ	TNK2
PTPRJ	NSF
PTPRJ	CTNNB1
PTPRJ	PPP1R12A
PTPRJ	INSR
PTPRJ	WAS
PTPRJ	CSK
PTPRJ	JAK2
STK38	YWHAZ
STK38	MAP3K1
STK38	S100B
STK38	ARRB2
STK38	ARRB1
STK38	BANP
STK38	AGO3
STK38	TFCP2
STK38	YWHAB
STK38	CTDP1
STK38	MAP3K2
STK38	KCNJ2
STK38	MOB1A
STK38	MOB1B
STK38	STK4
UBE2J2	TMEM14B
UBE2J2	UBE2G2
UBE2J2	UBA1
UBE2J2	MGRN1
UBE2J2	FAM193B
RBCK1	PRKCB
RBCK1	IKBKG
RBCK1	TNFRSF1A
RBCK1	PSMA1
RBCK1	NOD2
RBCK1	BACH1
RBCK1	UBE2K
RBCK1	PSMD4
RBCK1	UBE2L6
RBCK1	IREB2
RBCK1	UBA1
RBCK1	IL16
RBCK1	CREB5
RBCK1	GLYCTK
ZFHX3	TRIM27
ZFHX3	PICK1
ZFHX3	POU2F1
ZFHX3	TACC1
ZFHX3	ANPEP
ZFHX3	CNOT2
VPS35L	COMMD3
VPS35L	CCDC22
CCDC22	VPS29
CCDC22	ACTG1
CCDC22	SCLT1
CCDC22	VPS26C
CCDC22	COMMD6
CCDC22	COMMD3
CCDC22	COMMD8
CCDC22	COMMD2
CCDC22	COMMD5
CCDC22	COMMD7
CCDC22	COMMD9
MAVS	IKBKG
MAVS	TRAF6
MAVS	FKBP8
MAVS	CALCOCO2
MAVS	IKBKE
MAVS	RIPK2
MAVS	BAG6
MAVS	CHUK
MAVS	STAT1
MAVS	IKBKB
MAVS	ITCH
MAVS	MAP3K7
MAVS	ATG12
MAVS	RNF114
MAVS	IRF5
MAVS	PPP6C
MAVS	IRF7
MAVS	TBK1
MAVS	UBE4A
MAVS	TRIM14
RPL4	MEF2D
RPL4	RPS13
RPL4	RPL26
RPL4	RPS7
RPL4	RPS11
RPL4	RPL23
RPL4	RPL6
RPL4	RPL7
RPL4	RPL27
RPL4	HNRNPH2
RPL4	RPN1
RPL4	ATP5F1C
RPL4	IKBKG
RPL4	TUBB1
RPL4	MAP3K1
RPL4	MDM2
RPL4	ARRB2
RPL4	SRP14
RPL4	NAP1L1
RPL4	YBX1
RPL4	RPL28
RPL4	RPLP2
RPL4	TUBA1A
RPL4	RPS26
RPL4	PHB2
RPL4	FAU
RPL4	SLC25A5
RPL4	DICER1
RPL4	COPA
RPL4	RPL38
RPL4	RNF149
RPL4	UBA52
RPL4	CHUK
RPL4	IKBKB
RPL4	PPP1CC
RPL4	RPL22
RPL4	IMMT
RPL4	RPL36A
RPL4	RPS24
RPL4	SLC25A3
RPL4	PCBP2
RPL4	RPL39
RPL4	MRPS5
RPL4	PBX2
RPL4	LYAR
RPL4	RSL1D1
RPL4	SCYL2
RPL4	TUFM
RPL22	RPS13
RPL22	RPL26
RPL22	RPS7
RPL22	RPS11
RPL22	RPL23
RPL22	RPL6
RPL22	RPL7
RPL22	RPL27
RPL22	EIF3E
RPL22	VIM
RPL22	TUBB1
RPL22	IKBKE
RPL22	MDM2
RPL22	ANXA2
RPL22	ARRB2
RPL22	MAPK14
RPL22	SRP14
RPL22	NAP1L1
RPL22	VHL
RPL22	YBX1
RPL22	RPL28
RPL22	RPLP2
RPL22	TUBA1A
RPL22	ACTB
RPL22	EIF3M
RPL22	RPS26
RPL22	FAU
RPL22	SLC25A5
RPL22	MYL6
RPL22	AP2M1
RPL22	ANXA6
RPL22	RPL38
RPL22	SDCBP
RPL22	UBA52
RPL22	CD4
RPL22	LYAR
RPL22	RPS24
RPL22	EIF3K
RPL22	STAC3
RPL22	RACK1
RPL22	TUFM
RPL22	RPL36A
RPL22	ANXA1
RPL22	TMBIM4
RPL22	VDAC3
RPL22	GNAI2
RPL22	ATP5F1A
RPL22	RAC1
RPL22	HNRNPD
RPL22	ARRB1
RPL22	HNRNPA2B1
RPL22	ENO1
RPL22	CDC42
RPL22	RPL39
RPL22	NSFL1C
RPL22	RSL1D1
RPL22	SCYL2
ENO1	YWHAZ
ENO1	RPS13
ENO1	RPS7
ENO1	RPL7
ENO1	EIF3E
ENO1	VIM
ENO1	RIPK2
ENO1	FYN
ENO1	ANXA2
ENO1	YBX1
ENO1	TUBA1A
ENO1	RPS24
ENO1	ATP5F1A
ENO1	RACK1
ENO1	VDAC3
ENO1	PXN
ENO1	CAT
ENO1	MAP3K7
ENO1	ACTB
ENO1	HNRNPA2B1
ENO1	HNRNPD
ENO1	EIF3K
ENO1	CD4
ENO1	ANXA1
ENO1	UCHL3
ENO1	EIF3M
ENO1	MYL6
ENO1	ANXA6
ENO1	PGAM1
ENO1	AGTPBP1
ENO1	TKT
ENO1	GNAI2
ENO1	TPI1
ENO1	PGK1
ENO1	LARP7
EIF2S3	EIF2S2
EIF2S3	TRAF6
EIF2S3	IKBKE
EIF2S3	HLA-B
EIF2S3	CASP4
RPL28	RPS13
RPL28	RPL26
RPL28	RPS7
RPL28	RPS11
RPL28	RPL23
RPL28	RPL6
RPL28	RPL7
RPL28	RPL27
RPL28	CCNDBP1
RPL28	HNRNPH2
RPL28	RPN1
RPL28	ATP5F1C
RPL28	TUBB1
RPL28	ARRB2
RPL28	SRP14
RPL28	NAP1L1
RPL28	YBX1
RPL28	RPS26
RPL28	PHB2
RPL28	FAU
RPL28	SLC25A5
RPL28	DICER1
RPL28	PSTPIP1
RPL28	TUBA1A
RPL28	COPA
RPL28	RPL38
RPL28	UBA52
RPL28	LYAR
RPL28	RPS24
RPL28	RPLP2
RPL28	PPP1CC
RPL28	CDC42
RPL28	IMMT
RPL28	RPL36A
RPL28	SLC25A3
RPL28	PCBP2
RPL28	RPL39
RPL28	MRPS5
RPL28	RSL1D1
RPL28	SCYL2
RPL28	TMEM230
RPL28	TUFM
RSL1D1	RPS13
RSL1D1	RPL26
RSL1D1	RPS7
RSL1D1	RPS11
RSL1D1	RPL23
RSL1D1	RPL6
RSL1D1	RPL7
RSL1D1	RPL27
RSL1D1	RPN1
RSL1D1	TUBB1
RSL1D1	MDM2
RSL1D1	SRP14
RSL1D1	NAP1L1
RSL1D1	YBX1
RSL1D1	RPLP2
RSL1D1	TUBA1A
RSL1D1	RPS24
RSL1D1	SLC25A5
RSL1D1	TUFM
RSL1D1	LYAR
RSL1D1	ACTB
RSL1D1	PHB2
RSL1D1	DICER1
RSL1D1	ING3
RSL1D1	COPA
RSL1D1	SLC25A3
RSL1D1	RPL36A
RSL1D1	RNF2
RSL1D1	IMMT
RSL1D1	CNBP
RSL1D1	PCBP2
RSL1D1	RPL39
RSL1D1	LARP7
RSL1D1	SCYL2
ANKHD1	REL
ANKHD1	IKBKE
ANKHD1	CHUK
ANKHD1	NOD2
ANKHD1	RAF1
ANKHD1	STRN4
ANKHD1	PPP2CA
ANKHD1	ATXN1
ANKHD1	PPP6C
ANKHD1	SLMAP
ANKHD1	LENG8
ANKHD1	EPHB2
ANKHD1	STRN
ANKHD1	PDCD10
ANKHD1	STRIP1
ANKHD1	POLR2M
TNPO3	RAB5IF
TNPO3	USP19
TNPO3	CHMP3
XPO7	DDX19B
XPO7	IKBKG
XPO7	ILK
XPO7	GSTK1
XPO7	RAB5IF
XPO7	TAB1
XPO7	XPO1
RFFL	UBE2G2
RFFL	RAB11FIP1
PBRM1	MAPK14
PBRM1	SMARCA4
PBRM1	SMARCC2
PBRM1	ACTB
PBRM1	SMARCD3
PBRM1	SMARCD2
PBRM1	ARID1A
PBRM1	BRD7
UBE2L6	ARHGDIA
UBE2L6	TRIM27
UBE2L6	MAP3K1
UBE2L6	UBA1
UBE2L6	RNF144B
UBE2L6	TRAF7
UBE2L6	FLT3
UBE2L6	PJA2
UBE2L6	RNF125
UBE2L6	TRIM8
UBE2L6	NAMPT
HNRNPA3	ARHGDIA
HNRNPA3	CUL4B
HNRNPA3	HNRNPH2
HNRNPA3	UBQLN2
HNRNPA3	RIPK2
HNRNPA3	SMAD2
HNRNPA3	ARRB1
HNRNPA3	HNRNPK
HNRNPA3	HNRNPA2B1
HNRNPA3	HNRNPD
HNRNPA3	PTBP1
HNRNPA3	ATG12
HNRNPA3	FRG1
HNRNPA3	SNRPD3
HNRNPA3	CNBP
ARRB2	YWHAE
ARRB2	AKT1
ARRB2	YWHAH
ARRB2	RPS13
ARRB2	RPL26
ARRB2	RPS7
ARRB2	RPL6
ARRB2	RPL7
ARRB2	HNRNPH2
ARRB2	CSNK2A1
ARRB2	LBR
ARRB2	RPN2
ARRB2	TMPO
ARRB2	PRKCB
ARRB2	MAPK3
ARRB2	MAPK1
ARRB2	TRAF6
ARRB2	VIM
ARRB2	TMOD3
ARRB2	MAP3K1
ARRB2	MDM2
ARRB2	ANXA2
ARRB2	MYH9
ARRB2	CAPZA2
ARRB2	TAB1
ARRB2	ACTB
ARRB2	MYL6
ARRB2	YBX1
ARRB2	CLTA
ARRB2	TUBA1A
ARRB2	PPM1A
ARRB2	MED8
ARRB2	PES1
ARRB2	CLTC
ARRB2	DYNC1H1
ARRB2	CTNNA1
ARRB2	ARRB1
ARRB2	MAP3K5
ARRB2	ITCH
ARRB2	USP33
ARRB2	PPM1B
ARRB2	CALM3
ARRB2	CHUK
ARRB2	CFL1
ARRB2	GSN
ARRB2	S100A9
ARRB2	ARRDC3
ARRB2	LIMK1
ARRB2	HGS
ARRB2	CDC42
ARRB2	STAT1
ARRB2	HIPK3
ARRB2	BCLAF1
ARRB2	HNRNPK
ARRB2	PTAFR
ARRB2	WDR26
ARRB2	P4HB
ARRB2	PFKFB3
ARRB2	SFPQ
ARRB2	VPS35
ARRB2	HNRNPD
ARRB2	AP2A2
ARRB2	EPB41L3
ARRB2	SRPK2
ARRB2	RAF1
ARRB2	NDUFS7
ARRB2	PTBP1
ARRB2	YWHAB
ARRB2	MOB1A
ARRB2	CLNS1A
ARRB2	CAPZA1
ARRB2	NTSR1
ARRB2	DGKZ
ARRB2	AP1B1
ARRB2	MRPL44
ARRB2	C5AR1
ARRB2	SMARCC2
ARRB2	AP3D1
ARRB2	CLIC1
ARRB2	IKBKB
ARRB2	HSPA6
ARRB2	UBA52
ARRB2	ARHGEF11
ARRB2	ARHGEF6
ARRB2	ARHGAP17
ARRB2	MAP2K1
ARRB2	RAB5C
ARRB2	PHKA2
ARRB2	PABPC4
ARRB2	YBX3
ARRB2	AP2A1
ARRB2	RPLP2
ARRB2	EIF2AK4
ARRB2	NONO
ARRB2	AP3B1
ARRB2	EIF4B
ARRB2	NAP1L1
ARRB2	PPP1R12A
ARRB2	SCYL2
ARRB2	CDK13
ARRB2	ARF6
ARRB2	CAPN1
ARRB2	NOP10
ARRB2	MAP3K7
ARRB2	CALM2
ARRB2	POLR2E
RBBP4	NCOR1
RBBP4	HDAC4
RBBP4	USF1
RBBP4	ANXA7
RBBP4	IKZF1
RBBP4	CREB1
RBBP4	RPN2
RBBP4	RPN1
RBBP4	HLA-B
RBBP4	TAF1
RBBP4	SP1
RBBP4	RB1
RBBP4	ACTB
RBBP4	TLE3
RBBP4	ZFPM1
RBBP4	NCOR2
RBBP4	ASH2L
RBBP4	SMARCD3
RBBP4	BRMS1
RBBP4	HCFC1
RBBP4	HIPK2
RBBP4	ZMYM2
RBBP4	RBL2
RBBP4	SMARCA4
RBBP4	SP3
RBBP4	RAD21
RBBP4	MBD2
RBBP4	MBD3
RBBP4	SAP30
RBBP4	JARID2
RBBP4	PHF19
RBBP4	TLE4
RBBP4	TAF12
RBBP4	RCOR1
RBBP4	PHF21A
RBBP4	SMARCC2
RBBP4	STAG2
RBBP4	ARID1A
RBBP4	CPSF2
RBBP4	BAZ1A
RBBP4	SMARCD2
RBBP4	SYMPK
RBBP4	SMC1A
RBBP4	TAF9
RBBP4	ARID4A
RBBP4	EIF3A
RBBP4	STAT5B
HNRNPK	UBE2I
HNRNPK	YWHAZ
HNRNPK	HCK
HNRNPK	MEF2C
HNRNPK	PCBP1
HNRNPK	PRKCD
HNRNPK	MAPK3
HNRNPK	FYN
HNRNPK	MDM2
HNRNPK	VCL
HNRNPK	FBXO7
HNRNPK	YBX1
HNRNPK	LYN
HNRNPK	ABI1
HNRNPK	ARRB1
HNRNPK	CMTM5
HNRNPK	PCBP2
HNRNPK	C6orf226
HNRNPK	CTNNB1
HNRNPK	ZFC3H1
HNRNPK	CEBPB
HNRNPK	KHDRBS1
HNRNPK	VAV1
HNRNPK	CSK
HNRNPK	PTBP1
HNRNPK	QKI
HNRNPK	EIF3F
HNRNPK	RAB7A
HNRNPK	HNRNPD
HNRNPK	DOCK2
HNRNPK	RBM3
HNRNPK	SPG7
HNRNPK	TYK2
HNRNPK	PRMT2
HNRNPK	FRG1
HNRNPK	SNRPD3
HNRNPK	HNRNPA2B1
HNRNPK	SRSF3
HNRNPK	TLN1
HNRNPK	MARK4
HNRNPK	APOBEC3C
YWHAB	YWHAZ
YWHAB	YWHAE
YWHAB	HDAC4
YWHAB	BID
YWHAB	RPS6KA1
YWHAB	YWHAH
YWHAB	MAP3K3
YWHAB	CSNK2A1
YWHAB	PRKCD
YWHAB	LBR
YWHAB	TUBA1A
YWHAB	MAP2K1
YWHAB	ARRB1
YWHAB	DAPK1
YWHAB	HDAC5
YWHAB	ATP5F1A
YWHAB	ARAF
YWHAB	IKBKB
YWHAB	MAP3K5
YWHAB	CBL
YWHAB	FOS
YWHAB	RAF1
YWHAB	ITGB2
YWHAB	UBA52
YWHAB	LRRK2
YWHAB	SSH1
YWHAB	SRSF3
YWHAB	GAPVD1
YWHAB	SNCA
YWHAB	MLXIP
YWHAB	SAMSN1
YWHAB	CRTC2
YWHAB	KIAA0930
YWHAB	MAP3K2
YWHAB	MAPK7
YWHAB	FOXO3
YWHAB	IRS2
YWHAB	MDM4
YWHAB	SRPK2
YWHAB	MARK3
YWHAB	PI4KB
YWHAB	USP8
YWHAB	EPB41L3
YWHAB	AKAP13
YWHAB	TSC2
YWHAB	COP1
YWHAB	MARK2
YWHAB	SLC8A1
YWHAB	INSR
YWHAB	BCL2L11
YWHAB	RIN1
YWHAB	MYCBP2
YWHAB	USP32
YWHAB	SH3BP5L
YWHAB	LYST
YWHAB	UCP2
YWHAB	STK38L
YWHAB	AP5Z1
YWHAB	MARK4
SFPQ	SP1
SFPQ	RAC1
SFPQ	SLC25A3
SFPQ	UBA52
SFPQ	PTBP1
SFPQ	SNRPD3
SFPQ	PPP1CA
SFPQ	NONO
SFPQ	DYNC1H1
SFPQ	TBK1
SFPQ	CPSF7
SFPQ	MRE11
SFPQ	ZMYM2
SFPQ	STAT6
SFPQ	SP3
SFPQ	CLP1
SFPQ	JPT1
SFPQ	GAS7
SFPQ	PSPC1
SFPQ	CPSF3
SFPQ	CAPRIN1
SYMPK	TAF1
SYMPK	GSTK1
SYMPK	SMARCC2
SYMPK	MBD3
SYMPK	KAT6A
SYMPK	SAP30
SYMPK	HTT
SYMPK	TAF9
SYMPK	TAF12
SYMPK	YBX3
SYMPK	SSU72
SYMPK	CPSF2
SYMPK	CPSF3
TSNAX	MDM2
TSNAX	CARD9
TSNAX	GRIPAP1
TSNAX	HMGB2
TSNAX	TOP3A
TSNAX	VPS28
TSNAX	TSN
TSNAX	PMF1
TSNAX	AIMP1
TSNAX	C1D
ARPC3	NRIP1
ARPC3	BAG6
ARPC3	CAPZA2
ARPC3	ACTR2
ARPC3	ARPC2
ARPC3	ARPC1A
ARPC3	LTA4H
ARPC3	ARPC4
ARPC3	WASF2
ARPC3	RETREG3
ARPC3	ACTR3
ARPC3	WAS
ARPC3	ARAP1
ARPC3	POU2F1
ARPC3	ARPC5
ARPC3	ARPC1B
ARPC3	CETP
GSTK1	PCBP1
GSTK1	CUL4A
GSTK1	CCNDBP1
GSTK1	RPN2
GSTK1	RPN1
GSTK1	STAT1
GSTK1	VDAC3
GSTK1	IMMT
GSTK1	HSD17B11
GSTK1	HEATR3
GSTK1	SSR3
GSTK1	OGFR
GSTK1	PDCD6IP
GSTK1	CCAR2
GSTK1	ATXN10
GSTK1	NUP93
GSTK1	EIF4G2
GSTK1	RPS6KA3
GSTK1	PDS5A
GSTK1	CPSF3
GSTK1	YTHDF1
GSTK1	ARMT1
GSTK1	FAR1
UBR4	RB1
UBR4	SRGN
UBR4	SEM1
UBR4	UBXN7
UBR4	UBXN1
UBR4	MCRS1
UBR4	ACLY
UBR4	TXNIP
UBR4	UBE2A
BASP1	RIPK3
CPSF2	TAF1
CPSF2	SMARCC2
CPSF2	MBD3
CPSF2	SAP30
CPSF2	TAF9
CPSF2	TAF12
CPSF2	CPSF3
SNRPD3	CUL4B
SNRPD3	YBX1
SNRPD3	CLNS1A
SNRPD3	HNRNPA2B1
SNRPD3	FRG1
SNRPD3	LGALS3
SNRPD3	DYNC1H1
SNRPD3	GEMIN7
SNRPD3	RNPC3
SNRPD3	LGALS1
SNRPD3	SF3B5
SNRPD3	ZMAT5
SNRPD3	PPP1CA
SNRPD3	LARP7
SNRPD3	NRG1
SNRPD3	STXBP3
SNRPD3	STXBP2
SNRPD3	ZRSR2
SNRPD3	LSM10
GSK3B	YWHAZ
GSK3B	GBP2
GSK3B	BAG6
GSK3B	ZFPM1
GSK3B	YBX1
GSK3B	NACA
GSK3B	BCL3
GSK3B	TUBA1A
GSK3B	PRKCB
GSK3B	ATXN3
GSK3B	ADAP1
GSK3B	ILK
GSK3B	SEC16A
GSK3B	AKT1
GSK3B	PRKACA
GSK3B	ZNF281
GSK3B	PRKAR1A
GSK3B	RBPJ
GSK3B	VHL
GSK3B	CTNNB1
GSK3B	TRAF6
GSK3B	YBX3
GSK3B	CREB1
GSK3B	KHSRP
GSK3B	FRAT1
GSK3B	EPB41L3
GSK3B	NIN
GSK3B	CIITA
GSK3B	SLA
GSK3B	PTEN
GSK3B	ZNF746
GSK3B	MPP1
GSK3B	VIM
GSK3B	MID1IP1
GSK3B	RPS6KA1
GSK3B	PXN
GSK3B	NOTCH2
GSK3B	CLASP2
GSK3B	BCLAF1
GSK3B	MICAL1
GSK3B	TSC2
GSK3B	GID8
GSK3B	APC
GSK3B	PPP2R5A
GSK3B	MAPK1
GSK3B	DBI
GSK3B	EIF4EBP1
GSK3B	MAP2K1
GSK3B	NFE2L3
GSK3B	OGA
GSK3B	MAPK3
GSK3B	NBR1
GSK3B	ASRGL1
GSK3B	DNAJC13
GSK3B	MYCL
GSK3B	GNB2
GSK3B	FBXO7
GSK3B	CEBPA
GSK3B	CEBPB
GSK3B	XPNPEP1
GSK3B	HSD17B4
GSK3B	DPYSL2
GSK3B	PPP2CA
GSK3B	RSU1
GSK3B	PRKAR2A
GSK3B	FIBP
GSK3B	HNRNPD
GSK3B	DCTN3
GSK3B	FRAT2
GSK3B	RPS6KA3
GSK3B	RXRA
GSK3B	PIAS1
GSK3B	PPP1CA
GSK3B	SGK3
GSK3B	PRKCE
GSK3B	MDM2
GSK3B	MTF2
GSK3B	FAM193B
GSK3B	ACLY
GSK3B	PSEN1
GSK3B	MARK2
GSK3B	CCND3
GSK3B	BAX
GSK3B	CENPB
GSK3B	MAP3K1
GSK3B	MCL1
GSK3B	DNM1L
GSK3B	DCTN2
GSK3B	IKBKG
GSK3B	XPO1
GSK3B	TAZ
GSK3B	NSFL1C
EAPP	TNFAIP8
CYFIP1	YWHAZ
CYFIP1	YWHAH
CYFIP1	ABI1
CYFIP1	RAC1
CYFIP1	ACTB
CYFIP1	WASF2
CYFIP1	BRK1
CYFIP1	MARK4
CYFIP1	GAS7
LARP7	PCBP1
LARP7	CSNK2B
LARP7	RPS13
LARP7	RPL26
LARP7	RPS7
LARP7	RPS11
LARP7	RPL23
LARP7	RPL6
LARP7	RPL27
LARP7	CSNK2A1
LARP7	ATP5F1C
LARP7	ACTR1A
LARP7	YBX1
LARP7	RPLP2
LARP7	SRP9
LARP7	CLTC
LARP7	ATP5F1D
LARP7	MYL12A
LARP7	CCAR2
LARP7	DYNC1H1
LARP7	RNF2
LARP7	RPS26
LARP7	MRPS34
LARP7	YBX3
LARP7	RPL26L1
LARP7	DAP3
LARP7	HP1BP3
LARP7	DYNC1I2
LARP7	MRPL44
LARP7	XRN2
LARP7	DHX57
SAP30	NCOR1
SAP30	TAF1
SAP30	SP1
SAP30	DNM2
SAP30	NCOR2
SAP30	SMARCA4
SAP30	SMARCC2
SAP30	MBD3
SAP30	MBD2
SAP30	ARID1A
SAP30	EIF3A
SAP30	YY1
SAP30	CIR1
SAP30	SAMSN1
SAP30	ASH2L
SAP30	BRMS1
SAP30	HCFC1
SAP30	HTT
SAP30	ARID4A
SAP30	TAF9
SAP30	MXD1
SAP30	PHF12
SAP30	TAF12
NONO	PLEKHF2
NONO	VCL
NONO	RAC1
NONO	SLC25A3
NONO	SMARCA4
NONO	KAT2B
NONO	SPI1
NONO	ACTB
NONO	CTNNB1
NONO	PPP1CA
NONO	CRTC2
NONO	TOP2B
NONO	SCARB2
NONO	PSPC1
NONO	UBE2A
NONO	TBK1
NONO	RIPK3
HNRNPA2B1	WNK1
HNRNPA2B1	MEF2C
HNRNPA2B1	CSNK2B
HNRNPA2B1	RPS13
HNRNPA2B1	RPS7
HNRNPA2B1	RPL7
HNRNPA2B1	HNRNPH2
HNRNPA2B1	CSNK2A1
HNRNPA2B1	EIF3E
HNRNPA2B1	VIM
HNRNPA2B1	ANXA2
HNRNPA2B1	VHL
HNRNPA2B1	YBX1
HNRNPA2B1	TUBA1A
HNRNPA2B1	RPS24
HNRNPA2B1	ATP5F1A
HNRNPA2B1	RACK1
HNRNPA2B1	CDC42
HNRNPA2B1	VDAC3
HNRNPA2B1	ACTB
HNRNPA2B1	EIF3M
HNRNPA2B1	MYL6
HNRNPA2B1	ANXA6
HNRNPA2B1	CTNNB1
HNRNPA2B1	ZMAT3
HNRNPA2B1	ENY2
HNRNPA2B1	ZMYM2
HNRNPA2B1	PTBP1
HNRNPA2B1	CD4
HNRNPA2B1	EIF3K
HNRNPA2B1	ANXA1
HNRNPA2B1	MAP3K2
HNRNPA2B1	TRAPPC12
HNRNPA2B1	GNAI2
HNRNPA2B1	STAT5B
HNRNPA2B1	RBM3
HNRNPA2B1	HNRNPD
HNRNPA2B1	FRG1
TAF1	MEF2D
TAF1	MEF2C
TAF1	CSNK2A1
TAF1	PRKCB
TAF1	MDM2
TAF1	APC
TAF1	SOS2
TAF1	FOS
TAF1	RB1
TAF1	TAF8
TAF1	BRMS1
TAF1	TAF4
TAF1	MBD3
TAF1	RBL2
TAF1	TAF11
TAF1	SMARCC2
TAF1	TAF9
TAF1	TAF10
TAF1	MED26
TAF1	TAF12
TAF1	GTF2A1
TAF9	NCOR1
TAF9	YWHAE
TAF9	RPL26
TAF9	RPS24
TAF9	DRAP1
TAF9	ATP5ME
TAF9	SMARCA4
TAF9	KAT2B
TAF9	SMARCC2
TAF9	MBD3
TAF9	ATXN7L3
TAF9	CEBPB
TAF9	UBXN1
TAF9	UBA1
TAF9	TAF11
TAF9	RNF138
TAF9	GTF2A1
TAF9	TAF8
TAF9	HCFC1
TAF9	TAF6L
TAF9	TBCA
TAF9	STX12
TAF9	TAF4
TAF9	TADA3
TAF9	TAF10
TAF9	TAF12
SMARCC2	NCOR1
SMARCC2	MAP3K3
SMARCC2	SMAD2
SMARCC2	DRAP1
SMARCC2	SP1
SMARCC2	SMARCA4
SMARCC2	VDR
SMARCC2	ACTB
SMARCC2	SMARCD3
SMARCC2	REST
SMARCC2	MBD2
SMARCC2	MLLT1
SMARCC2	STAT2
SMARCC2	RCOR1
SMARCC2	MBD3
SMARCC2	TRIM33
SMARCC2	TOP2B
SMARCC2	SMARCD2
SMARCC2	BRD7
SMARCC2	ATXN1
SMARCC2	ARID1A
SMARCC2	TAF12
TAF12	PRKAR2B
TAF12	KAT2B
TAF12	MBD3
TAF12	ATXN7L3
TAF12	TAF11
TAF12	GTF2A1
TAF12	TAF8
TAF12	TAF6L
TAF12	TAF4
TAF12	TADA3
TAF12	TAF10
MBD3	BCL6
MBD3	REL
MBD3	PICK1
MBD3	ZNF655
MBD3	SMARCA4
MBD3	SDCBP
MBD3	ACTB
MBD3	SERTAD3
MBD3	MBD2
MBD3	RAD21
MBD3	RCOR1
MBD3	ZBTB7A
MBD3	STAG2
MBD3	SMC1A
MBD3	EIF3A
MBD3	ARID1A
MBD3	SMARCD2
MBD3	BAZ1A
MBD3	ZNF277
MBD3	EXOC4
HTT	SUMO1
HTT	NCOR1
HTT	CTBP1
HTT	AKT1
HTT	CREB1
HTT	ATXN3
HTT	IKBKG
HTT	SH3GLB1
HTT	CASP1
HTT	SP1
HTT	CDK5
HTT	AP2A2
HTT	ITCH
HTT	RAB8A
HTT	UBE2K
HTT	F8A1
HTT	REST
HTT	MTSS1
HTT	F8A3
HTT	PIAS4
HTT	NBR1
HTT	TAF4
HTT	ZMAT2
HTT	MBD4
HTT	WDFY3
HTT	DLG4
HTT	ITPR1
DIAPH1	RAC1
DIAPH1	RHOA
DIAPH1	DCAF7
DIAPH1	SRGAP2
DIAPH1	GAS7
SETDB1	UBE2I
SETDB1	BID
SETDB1	SAT1
SETDB1	BTBD2
SETDB1	ANXA7
SETDB1	SERPINB9
SETDB1	AKT1
SETDB1	FAM118B
SETDB1	VIM
SETDB1	PSME1
SETDB1	APC
SETDB1	BAG6
SETDB1	NIPSNAP3A
SETDB1	KMT2C
SETDB1	TOLLIP
SETDB1	S100A10
SETDB1	GSTO1
SETDB1	PIAS4
SETDB1	ATF7IP
SETDB1	TIAM1
SETDB1	MRPL44
SETDB1	JARID2
SETDB1	ULK2
SETDB1	ASAH1
SETDB1	TPI1
SETDB1	SUFU
SETDB1	PABPC4
SETDB1	DAP
PCBP1	HDAC9
PCBP1	YWHAZ
PCBP1	YWHAE
PCBP1	ZNF384
PCBP1	VHL
PCBP1	TRAF6
PCBP1	CFL1
PCBP1	PTBP1
PCBP1	HLA-B
PCBP1	PAK1
PCBP1	HNRNPD
PCBP1	TSC22D4
PCBP1	GNB2
PCBP1	FTH1
PCBP1	SRSF3
PCBP1	SRPK2
PCBP1	QKI
PCBP1	TMPO
PCBP1	PCBP2
PCBP1	UBE4A
PCBP1	IKBKE
PCBP1	HLA-C
PCBP1	CELF2
PCBP1	RBM3
PCBP1	SERF2
CHD8	SUMO1
CHD8	USF1
CHD8	SUMO3
CHD8	CREB1
CHD8	NFYC
CHD8	ASH2L
CHD8	CTNNB1
CHD8	CTDP1
PIAS4	UBE2I
PIAS4	SUMO1
PIAS4	TRIM27
PIAS4	SUMO3
PIAS4	PIAS1
PIAS4	IKBKG
PIAS4	VIM
PIAS4	CALCOCO2
PIAS4	SMAD2
PIAS4	VHL
PIAS4	IMMT
PIAS4	UBE2K
PIAS4	ZMIZ2
PIAS4	AREL1
PIAS4	ZBTB34
PIAS4	HIF1A
PIAS4	TRAF7
PIAS4	TADA3
PIAS4	IRF7
PIAS4	TRIM38
RPN1	RPS13
RPN1	RPL26
RPN1	RPS7
RPN1	RPL23
RPN1	RPL6
RPN1	RPL7
RPN1	UBQLN1
RPN1	FBXO6
RPN1	CANX
RPN1	RPN2
RPN1	ARF6
RPN1	IKBKG
RPN1	PHB2
RPN1	OS9
RPN1	STT3B
RPN1	VDAC3
RPN1	IMMT
RPN1	PDPK1
RPN1	SLC25A3
RPN1	PCBP2
RPN1	DICER1
RPN1	IKBKE
RPN1	SLC25A5
RPN1	HLA-B
