fromnodeid	tonodeid
TCERG1	RBM22
TCERG1	SF3B4
TCERG1	CTNNBL1
TCERG1	SMNDC1
TCERG1	CD2BP2
TCERG1	DHX8
TCERG1	SNRPC
TCERG1	PCBP1
TCERG1	SRSF9
TCERG1	SRRM1
TCERG1	CHD8
TCERG1	PIAS4
TCERG1	SYF2
TCERG1	RNPS1
TCERG1	PPIL2
TCERG1	SRSF6
TCERG1	LSM4
TCERG1	SPEN
TCERG1	THOC5
PABPC1	RPN1
PABPC1	HNRNPA3
PABPC1	HNRNPC
PABPC1	PHB2
PABPC1	EIF3L
PABPC1	ZNF207
PABPC1	SLC25A5
PABPC1	DICER1
PABPC1	DDX41
PABPC1	HNRNPA1
PABPC1	YBX1
PABPC1	HNRNPF
PABPC1	COPA
PABPC1	RPS9
PABPC1	ARRB2
PABPC1	HNRNPH2
PABPC1	RBM22
PABPC1	RPL38
PABPC1	AGO4
PABPC1	U2SURP
PABPC1	HNRNPK
PABPC1	RNPS1
PABPC1	TRAF6
PABPC1	EIF4A1
PABPC1	CD2BP2
PABPC1	RNF149
PABPC1	SYF2
PABPC1	SYNCRIP
PABPC1	WWP2
PABPC1	TRIR
PABPC1	RPS7
PABPC1	HNRNPU
PABPC1	RPL4
PABPC1	HNRNPR
PABPC1	HLA-B
PABPC1	SNRPD3
PABPC1	SPEN
PABPC1	PCSK7
PABPC1	PXN
PABPC1	THOC6
PABPC1	LYAR
PABPC1	WNK1
PABPC1	PAXBP1
PABPC1	PCBP1
PABPC1	SART1
PABPC1	BUD31
PABPC1	RPL26
PABPC1	TP53
PABPC1	SNRNP27
PABPC1	RPL28
PABPC1	SF3B2
PABPC1	RACK1
PABPC1	SLC25A3
PABPC1	AGO1
PABPC1	NUDT21
PABPC1	CDC40
PABPC1	ATP5F1C
PABPC1	PPIL2
PABPC1	RPL6
PABPC1	HNRNPM
PABPC1	USP10
PABPC1	SLU7
PABPC1	SNW1
PABPC1	ISY1
PABPC1	THOC5
PABPC1	PAN3
PABPC1	ANAPC5
PABPC1	CSDE1
PABPC1	DDX46
PABPC1	SMNDC1
PABPC1	MRPS5
PABPC1	ATXN2
PABPC1	SRSF9
PABPC1	IMMT
PABPC1	CWC15
PABPC1	YWHAG
PABPC1	GRB2
PABPC1	HNRNPA2B1
PABPC1	EIF4B
PABPC1	PAIP2
PABPC1	EIF4G3
PABPC1	HNRNPD
PABPC1	PCBP2
PABPC1	RPL7
PABPC1	HBB
PABPC1	SNRPB2
PABPC1	TRA2B
PABPC1	FRG1
PABPC1	RPS13
PABPC1	SRRM1
PABPC1	IKBKE
PABPC1	RSL1D1
PABPC1	SRSF6
PABPC1	PRPF40A
PABPC1	DHX8
PABPC1	CTNNBL1
PABPC1	ACIN1
PABPC1	LSM4
PABPC1	SNRPC
PABPC1	RBM17
PABPC1	RALY
PABPC1	RPL23
PABPC1	SF3B1
PABPC1	SF3B4
PABPC1	RPL27
PABPC1	ALYREF
PABPC1	SREK1
SNW1	HNRNPA3
SNW1	HNRNPC
SNW1	ZNF207
SNW1	VDR
SNW1	CIR1
SNW1	DDX41
SNW1	HNRNPA1
SNW1	NCOR2
SNW1	HNRNPF
SNW1	RB1
SNW1	TUBB1
SNW1	RBM22
SNW1	NCOA1
SNW1	U2SURP
SNW1	HNRNPK
SNW1	TNNT1
SNW1	RBPJ
SNW1	RAD21
SNW1	RNPS1
SNW1	CD2BP2
SNW1	PICK1
SNW1	NCOR1
SNW1	SYF2
SNW1	SYNCRIP
SNW1	TRIR
SNW1	PABPN1
SNW1	GRIPAP1
SNW1	HNRNPU
SNW1	HNRNPR
SNW1	SNRPD3
SNW1	SPEN
SNW1	NCOA2
SNW1	NXF1
SNW1	THOC6
SNW1	PAXBP1
SNW1	SART1
SNW1	USF1
SNW1	BUD31
SNW1	APC
SNW1	SNRNP27
SNW1	RBL2
SNW1	SF3B2
SNW1	OSTF1
SNW1	NUDT21
SNW1	CDC40
SNW1	IQGAP1
SNW1	PPIL2
